Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
FIGS11;Shoppings;49.99;0.0918;0.088;0.5;142472000;238845;2;2219.55;213.83;0.0963;0.1381
FIIB11;Híbrido;459;0.0922;0.0887;1.01;314415000;267266;11;564.19;58.37;0.1035;0.0069
FIIP11B;Híbrido;152.57;0.1088;0.1021;0.82;141457000;84630;7;2002.28;245.37;0.1225;0
FLCR11;Títulos e Val. Mob.;93.2;0.1791;0.1677;0.94;59051900;86672;0;0;0;0;0
FLMA11;Híbrido;123.5;0.0774;0.0767;0.79;170513000;106334;1;9748.93;851.69;0.0874;0
FLRP11;Shoppings;1565.02;0.075;0.0734;0.9;102089000;566583;1;2337.28;189.53;0.0811;0.0493
FMOF11;Lajes Corporativas;57;0.0045;0.0025;0.46;28956500;238;2;1716.21;153.59;0.0895;0.3784
FPAB11;Lajes Corporativas;188.68;0.1028;0.0971;0.46;141510000;18917;2;3085.9;444.99;0.1442;0.2562
FPNG11;Lajes Corporativas;75;0.1041;0.0971;0.44;76675800;22;6;8577.33;1069.24;0.1247;0.2354
FVPQ11;Shoppings;110.01;0.0805;0.0802;0.55;308044000;44120;1;5356.45;839.51;0.1567;0.083
GALG11;Híbrido;9.35;0.1071;0.1136;0.92;537488000;1303810;6;4955.9;459.29;0.0927;0
GAME11;Outros;9.18;0.0663;0.1071;0.93;189108000;255601;0;0;0;0;0
GCFF11;Títulos e Val. Mob.;71.26;0.128;0.1736;0.83;24128500;50802;0;0;0;0;0
GCRA11;Títulos e Val. Mob.;98.2;0.0468;0.1314;1;171935000;282389;0;0;0;0;0
GCRI11;Títulos e Val. Mob.;92.23;0.1261;0.1668;0.95;109827000;110594;0;0;0;0;0
GGRC11;Logística;116.86;0.09;0.0916;0.94;906650000;1373140;16;1210.68;110.56;0.0913;0
GSFI11;Shoppings;5.05;0;0;0.37;379751000;65688;0;0;0;0;0
GTLG11;Logística;97.9;0.0726;0.0852;1.04;702237000;34568;5;4027.03;263.47;0.0654;0.0557
GTWR11;Lajes Corporativas;77.55;0.1154;0.1125;0.79;930600000;1110660;3;10351.7;1276.24;0.1233;0
HAAA11;Lajes Corporativas;83.5;0.0836;0.0783;0.92;288493000;1209;2;19593.6;1632.01;0.0833;0.1693
HABT11;Títulos e Val. Mob.;88.9;0.087;0.163;0.89;722471000;2295360;0;0;0;0;0
HBCR11;Outros;109.3;0.0887;0.0694;1.04;83286600;784652;4;6749.72;441.14;0.0654;0
HBRH11;Híbrido;92.5;0.1005;0.0973;0.82;256429000;50944;5;8498.71;880.92;0.1037;0.0283
HCHG11;Outros;87;0.0595;0.1194;0.87;104400000;42643;0;0;0;0;0
HCRI11;Hospital;219;0.1116;0.1014;0.73;43800000;55207;1;7919.03;1178.32;0.1488;0
HCTR11;Títulos e Val. Mob.;98.7;0.0945;0.1714;0.81;2179710000;5721580;0;0;0;0;0
HFOF11;Títulos e Val. Mob.;70.11;0.1049;0.103;0.82;1612530000;1256960;0;0;0;0;0
HGAG11;Outros;103.58;-0.0112;0.0119;1.01;25713900;41214;0;0;0;0;0
HGBS11;Shoppings;190.53;0.0795;0.0769;0.87;1905300000;2252520;12;3612.56;300.67;0.0832;0.0531
HGCR11;Títulos e Val. Mob.;102.39;0.1087;0.1311;1;1578660000;4031600;0;0;0;0;0
HGFF11;Títulos e Val. Mob.;74.01;0.1075;0.0987;0.8;211935000;889898;0;0;0;0;0
HGIC11;Títulos e Val. Mob.;106.18;0.0659;0.1208;0.91;30621700;36668;0;0;0;0;0
HGLG11;Logística;162.47;0.0659;0.0976;1.1;3811010000;6163290;19;3343.29;225.79;0.0675;0.0727
HGPO11;Lajes Corporativas;255.5;0.0649;0.0665;0.95;447906000;301104;2;35296.7;2459.11;0.0697;0.0404
HGRE11;Lajes Corporativas;127.1;0.053;0.0855;0.79;1502040000;2360060;19;7538.47;527.76;0.07;0.2283
HGRU11;Híbrido;118.09;0.0794;0.0835;0.98;2173620000;3846520;77;4061.59;376.03;0.0926;0
HLOG11;Logística;91.49;0.0921;0.0842;0.82;388833000;60632;4;8905.87;858.31;0.0964;0
HOFC11;Lajes Corporativas;35.76;0.1174;0.1092;0.4;135137000;159232;4;3066.11;524.98;0.1712;0.4167
HOSI11;Híbrido;63.87;0.0785;0.0779;0.69;36626300;29321;0;0;0;0;0
HPDP11;Shoppings;80.48;0.0698;0.0685;0.85;234101000;6512;1;1833.42;139.98;0.0763;0.0109
HRDF11;Híbrido;1.08;-0.0099;0;0.96;8194100;329;0;0;0;0;0
HREC11;Títulos e Val. Mob.;83.99;0.1214;0.1423;0.92;433117000;54046;0;0;0;0;0
HSAF11;Títulos e Val. Mob.;83.97;0.0827;0.1534;0.91;212138000;598857;0;0;0;0;0
HSLG11;Logística;86.01;0.0779;0.0894;0.82;1088890000;664917;4;2560.1;240.25;0.0938;0.0049
HSML11;Shoppings;82.44;0.0911;0.0883;0.85;1300950000;2458220;7;8388.69;584.44;0.0697;0.0513
HSRE11;Híbrido;101.31;0.0691;0.0717;1.05;862965000;1850160;26;8726.75;704.61;0.0807;0
HTMX11;Hotel;110.39;0.0278;0.024;0.84;166063000;493299;23;4710.55;185.99;0.0395;0
HUCG11;Hospital;85.5;0.0464;0.0528;0.84;95931000;9163;2;1312.11;0;0;0
HUSC11;Outros;106.77;0.0893;0.0856;0.75;84840800;3238;1;1147.56;134.41;0.1171;0
HUSI11;Hospital;1100;0.0223;0.0286;1.1;127998000;106;1;6374.18;150.43;0.0236;0
IBCR11;Títulos e Val. Mob.;85.18;0.12;0.1821;0.88;81638500;253788;0;0;0;0;0
IDFI11;Híbrido;60.59;0.2009;0.8352;1;124690000;9761;1;0;0;0;0
IDGR11;Híbrido;82;0.1118;0.3913;1.15;72435400;781;1;428321;0;0;0
IRDM11;Títulos e Val. Mob.;95.01;0.1122;0.1471;1;3461580000;6995110;0;0;0;0;0
IRIM11;Híbrido;95.91;0.1164;0.1686;0.97;184147000;140544;0;0;0;0;0
ITIP11;Títulos e Val. Mob.;78.99;0.2143;0.1199;0.95;59096400;72249;0;0;0;0;0
ITIT11;Títulos e Val. Mob.;78.09;0.1264;0.071;0.92;70319600;97514;0;0;0;0;0
JASC11;Outros;101;0.0113;0.0149;0.87;183849000;6960;4;1356.54;0;0;0
JBFO11;Títulos e Val. Mob.;92.01;0.0754;0.0759;1;117687000;8799;0;0;0;0;0
JFLL11;Residencial;66.04;0.1749;0.1119;0.66;99099500;103417;2;6679.21;1255.41;0.188;0.3905
JGPX11;Híbrido;96.25;0.0797;0.0835;1;81629300;181177;0;0;0;0;0
JPPA11;Híbrido;105.21;0.1115;0.176;1.05;74163700;323461;0;0;0;0;0
JPPC11;Híbrido;161;-0.0518;0.1135;0.44;8855000;352;0;0;0;0;0
JRDM11;Shoppings;81.17;0.0794;0.0802;0.93;204789000;96392;1;6818.88;680.05;0.0997;0.0103
JSAF11;Títulos e Val. Mob.;87.03;0.0803;0.074;0.89;136902000;272515;0;0;0;0;0
JSRE11;Híbrido;74;0.0776;0.0811;0.65;1536780000;2773020;6;12988.4;1186.3;0.0913;0.1435
KCRE11;Títulos e Val. Mob.;91;0.065;0.0494;0.9;327600000;254084;0;0;0;0;0
